Transcript stable ID version	UniProtKB/Swiss-Prot ID
ENST00000361390.2	P03886
ENST00000361453.3	P03891
ENST00000361624.2	P00395
ENST00000361739.1	P00403
ENST00000361851.1	P03928
ENST00000361899.2	P00846
ENST00000362079.2	P00414
ENST00000361227.2	P03897
ENST00000361335.1	P03901
ENST00000361381.2	P03905
ENST00000361567.2	P03915
ENST00000361681.2	P03923
ENST00000361789.2	P00156
ENST00000374667.5	Q9Y614
ENST00000313368.8	Q15545
ENST00000506578.5	
ENST00000377365.4	A6NMK8
ENST00000624761.1	
ENST00000390242.2	A0A0A0MT89
ENST00000333999.5	Q9Y615
ENST00000334678.8	Q86WX3
ENST00000371657.9	Q13404
ENST00000228865.3	O60519
ENST00000329106.2	Q6IMI6
ENST00000576098.2	P35900
ENST00000294064.9	Q9UQ49
ENST00000522148.5	
ENST00000392218.6	
ENST00000420879.5	
ENST00000239451.7	Q9BXI2
ENST00000419445.6	P53609
ENST00000280155.4	P08913
ENST00000531509.5	Q9UQ49
ENST00000529024.1	
ENST00000379615.3	P53609
ENST00000025301.4	Q9UKA4
ENST00000550708.1	B2RN74
ENST00000293760.10	Q8NC56
ENST00000284000.9	P53567
ENST00000526068.1	
ENST00000540510.1	Q15760
ENST00000390243.2	P06312
ENST00000380243.9	A6NKD9
ENST00000652630.1	P53567
ENST00000585933.2	P53567
ENST00000532963.1	
ENST00000531619.1	
ENST00000594814.6	Q3SXY7
ENST00000371674.7	Q13404
ENST00000327908.3	
ENST00000540796.5	
ENST00000599539.5	
ENST00000390244.2	P06315
ENST00000340309.7	Q13404
ENST00000352251.8	Q86XN7
ENST00000534628.1	
ENST00000557769.5	
ENST00000265404.7	Q9ULZ2
ENST00000622117.2	
ENST00000415862.6	Q13404
ENST00000557576.5	
ENST00000555822.5	
ENST00000371677.7	Q13404
ENST00000615008.4	
ENST00000396225.1	Q9ULZ2
ENST00000554996.5	
ENST00000651487.1	Q15760
ENST00000339471.8	
ENST00000483534.5	
ENST00000554877.1	
ENST00000374902.9	Q9NXF1
ENST00000612323.4	
ENST00000332427.6	Q15760
ENST00000556348.1	
ENST00000263056.6	P41279
ENST00000641541.1	A6NND4
ENST00000641593.1	A6NND4
ENST00000641504.1	A6NND4
ENST00000415139.5	
ENST00000631973.1	Q96MG7
ENST00000641931.1	A6NND4
ENST00000375322.2	
ENST00000429235.1	
ENST00000251453.8	P62249
ENST00000607124.1	P06899
ENST00000413724.5	
ENST00000305159.3	A6NND4
ENST00000375321.1	P41279
ENST00000606923.1	
ENST00000535814.5	Q9NXF1
ENST00000418503.1	
ENST00000317735.6	O14718
ENST00000290167.11	P56705
ENST00000601655.5	
ENST00000359370.10	P05230
ENST00000542547.5	P41279
ENST00000393067.8	Q16633
ENST00000415567.1	
ENST00000602153.5	
ENST00000339812.2	P06899
ENST00000652276.1	
ENST00000441048.1	
ENST00000625998.2	Q86XN7
ENST00000555699.5	Q99538
ENST00000298283.5	Q96L21
ENST00000378046.5	P05230
ENST00000574480.5	Q9C075
ENST00000243347.5	P98066
ENST00000421671.6	
ENST00000531398.1	
ENST00000337706.7	P05230
ENST00000599705.1	
ENST00000379277.6	Q96A57
ENST00000360966.9	P05230
ENST00000508327.5	Q8NC56
ENST00000332314.3	Q86SM5
ENST00000504692.1	
ENST00000407758.5	
ENST00000379299.6	Q96A57
ENST00000526991.3	Q7LBR1
ENST00000643195.1	
ENST00000441680.6	P05230
ENST00000379286.6	Q96A57
ENST00000252835.5	Q8NG94
ENST00000442696.6	
ENST00000419524.6	P05230
ENST00000359193.3	P0C0S8
ENST00000379279.6	Q96A57
ENST00000394496.2	
ENST00000379283.6	Q96A57
ENST00000513701.1	
ENST00000411960.1	
ENST00000614475.4	Q8NC56
ENST00000354777.6	Q5T9L3
ENST00000621536.4	P05230
ENST00000615353.1	P62805
ENST00000372748.8	Q14055
ENST00000342308.10	Q96A57
ENST00000571258.6	Q9C075
ENST00000447063.6	
ENST00000612156.2	
ENST00000619447.4	P05230
ENST00000543307.5	
ENST00000610990.4	P05230
ENST00000612258.4	P05230
ENST00000562197.3	P0DKB5
ENST00000334869.9	Q99538
ENST00000202834.11	Q96A57
ENST00000356501.8	Q8NDY3
ENST00000379276.4	
ENST00000518471.5	
ENST00000262348.9	Q5T9L3
ENST00000555169.1	
ENST00000344120.4	
ENST00000375418.7	Q8NDY3
ENST00000320567.6	Q8NAX2
ENST00000524591.7	Q9P272
ENST00000356950.1	O60814
ENST00000370976.7	Q5T9L3
ENST00000413169.2	
ENST00000608933.6	Q8N3J5
ENST00000571504.5	
ENST00000486883.5	
ENST00000434127.2	Q9C004
ENST00000616918.1	
ENST00000295908.11	
ENST00000511815.1	
ENST00000356018.6	Q9NY30
ENST00000574395.5	
ENST00000377459.2	Q96KK5
ENST00000581268.1	
ENST00000625172.3	
